Score;Match_type;Match_addr;Rank;USER_City;X;Y;DisplayX;DisplayY;USER_Company_Name;USER_Parent_Company_Name;USER_Executive_First_Name;USER_Executive_Last_Name;USER_Address;USER_State;USER_ZIP_Code;USER_Legal_Name;USER_Record_Type;USER_Phone_Number_Combined;USER_Census_Block_Group;USER_Website;USER_Toll_Free_Number_Combined;USER_Company_Description;USER_Primary_SIC_Code;USER_Primary_SIC_Description;USER_SIC_Code_1;USER_Primary_NAICS;USER_Primary_NAICS_Description;USER_NAICS_1;USER_Franchise_Description_1;USER_Location_Employee_Size_Range;USER_Location_Employee_Size_Actual;USER_Location_Sales_Volume_Range;USER_Location_Sales_Volume_Actual;USER_Corporate_Employee_Size_Range;USER_Corporate_Employee_Size_Actual;USER_Corporate_Sales_Volume_Range;USER_Corporate_Sales_Volume_Actual;USER_Type_of_Business;USER_Location_Type;USER_IUSA_Number;USER_EIN_1;USER_Last_Updated_On;USER_Years_In_Database;USER_Year_Established;USER_Home_Business;USER_Firm_or_Individual;USER_Twitter;USER_Linked_In;USER_Facebook;USER_Affiliated_Records;USER_Affiliated_Locations;;
100;A;44 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.201806934643;47.208878648099002;-124.201807521378;47.209068162930002;Emily's Confection;;;;44 Main St;WA;98571;;Unverified;(360) 276-4664;2;;;;544101;Candy & Confectionery-Retail;544101;44529202;Confectionery And Nut Retailers;44529202;;1 to 4;1;Less Than $500,000;57000;;0;;0;Private;Single Loc;69-407-5847;;201801;13;;No;2;;;;0;0;FALSE;TRUE
100;A;12 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.198905287402;47.209335084636002;-124.199080636817;47.209668349106998;United States Postal Svc;UNITED STATES POSTAL SVC;Elizabeth;Hughes;12 Main St;WA;98571;;Verified;(360) 276-1354;3;8002758777;Usps.Com;Visit Your Local Post Office At 12 Main St! The U.S. Postal Service (Usps) Is The Only Organization IN The Country To Regularly Deliver To Every Residential And Business Address. Usps Is Actively Recruiting For Many Positions, Including: Mail And Package ;431101;Post Offices;431101;49111001;Postal Service;49111001;United States Postal Service;1 to 4;2;;0;;0;;0;Private;Branch;80-400-2335;;202306;37;;No;2;http://twitter.com/usps;;http://www.facebook.com/uspsstamps;0;0;TRUE;TRUE
100;A;39 Holly Ln, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.199232181626;47.218750225016002;-124.199507778603;47.218743435675002;Top Voice Inc;;Michael;Harris;39 Holly Ln;WA;98571;TOP VOICE INC;Unverified;(360) 276-4373;2;;;;781211;Video Production & Taping Service;781211;51211016;Motion Picture And Video Production;51211016;;1 to 4;2;$500,000-1 Million;874000;;0;;0;Private;Single Loc;40-915-5563;;201803;13;;No;2;;;;0;0;FALSE;FALSE
100;A;12 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.198905287402;47.209335084636002;-124.199080636817;47.209668349106998;USPS Collection Box;UNITED STATES POSTAL SVC;;;12 Main St;WA;98571;;Verified;Not Available;3;;;;733110;Mailing & Shipping Kiosks;733110;54186009;Direct Mail Advertising;54186009;;;0;;0;;0;;0;Private;Branch;77-910-7673;;202407;3;;No;2;;;;0;0;TRUE;TRUE
100;A;12 S 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203403184284;47.208360814121001;-124.203753547838;47.208346229608999;Pacific Beach Inn;;Katy;Lubbe;12 S 1st St;WA;98571;;Verified;(360) 276-4433;2;;Pacificbeachinn.Com;;701101;Hotels & Motels;701101;72111002;Hotels (Except Casino Hotels) And Motels;72111002;;1 to 4;2;Less Than $500,000;139000;;0;;0;Private;Single Loc;80-400-2293;;202407;41;1950;No;2;;;https://www.facebook.com/pacificbeachinn;0;0;FALSE;FALSE
96.1099999999999;A;State Route 109, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.172336850392;47.114405964513999;-124.172336850392;47.114405964513999;Iron Springs Cove Gallery;;David M;Waller;3688 State Route 109;WA;98535;;Unverified;(360) 276-4360;2;;;;599969;Art Galleries & Dealers;599969;45992002;Art Dealers;45992002;;1 to 4;2;Less Than $500,000;234000;;0;;0;Private;Single Loc;42-055-9689;;201803;13;;No;2;;;;0;0;FALSE;TRUE
100;A;15 Dusty Ln, Hoquiam, Washington, 98550;20;Hoquiam;-124.044504931217;47.056937500396003;-124.044499315341;47.059093828805999;Total Building Concepts;;;;15 Dusty Ln;WA;98550;TOTAL BUILDING CONCEPTS INC;Verified;Not Available;1;;;;154213;Building Contractors;154213;23622005;Commercial And Institutional Building Construction;23622005;;1 to 4;2;$500,000-1 Million;532000;;0;;0;Private;Single Loc;74-255-2838;;201904;6;;Yes;2;;;;0;0;FALSE;FALSE
100;A;14 Heath Rd, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.176208504458;47.111303995169997;-124.176208504458;47.111303995169997;Sunrise Resorts;;Sharon;Muggett;14 Heath Rd;WA;98535;;Verified;(360) 289-4278;2;8003928560;Sunriseresorts.Com;;701111;Resorts;701111;72119909;All Other Traveler Accommodation;72119909;;1 to 4;2;Less Than $500,000;139000;;0;;0;Private;Single Loc;17-516-4763;;202411;41;;No;2;;;https://www.facebook.com/pages/sunrise-resorts/438923426185901;0;0;FALSE;FALSE
100;A;3 Coral Way, Ocean Shores, Washington, 98569;20;Ocean City;-124.169199571091;47.073029203840001;-124.169206025158;47.073156944044001;Reconstruct;;;;3 Coral Way;WA;98569;;Unverified;Not Available;1;;;;999977;Nonclassified Establishments;999977;99999004;Unclassified Establishments;99999004;;;0;;0;;0;;0;Private;Single Loc;74-253-2558;;201904;6;;No;2;;;;0;0;FALSE;TRUE
100;A;53 Pacifica Ln, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.200382178742;47.195379383487001;-124.200587032455;47.195345017683998;Elle Enterprises;;Ellen;Melocik;53 Pacifica Ln;WA;98571;ELLE ENTERPRISES LLC;Verified;Not Available;2;;;;999977;Nonclassified Establishments;999977;99999004;Unclassified Establishments;99999004;;;0;;0;;0;;0;Private;Single Loc;74-237-3206;;201904;6;;No;2;;;;0;0;FALSE;FALSE
100;A;8 McCullough Rd, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.178062930785;47.110695967967999;-124.178062930785;47.110695967967999;Surf & Sand Rv PARK;;;;8 Mccullough Rd;WA;98535;;Unverified;(360) 289-2707;2;;;;703302;Recreational Vehicle Parks;703302;72121102;Rv (Recreational Vehicle) Parks And Campgrounds;72121102;;1 to 4;1;Less Than $500,000;106000;;0;;0;Private;Single Loc;80-402-9882;;201905;21;;No;2;;;;0;0;FALSE;FALSE
100;A;9 Benner Rd, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.17471089657;47.114147818625000;-124.17471089657;47.114147818625000;Quadsports Northwest;;Chris;Keefer;9 Benner Rd;WA;98535;;Unverified;(360) 589-3140;2;;;;557106;Motorcycles & Motor Scooters-Dealers;557106;44122708;Motorcycle, Atv, And All Other Motor Vehicle Deale;44122708;;1 to 4;1;Less Than $500,000;230000;;0;;0;Private;Single Loc;63-531-0204;;201905;18;;No;2;;;;0;0;FALSE;FALSE
100;A;148 Copalis Beach Rd, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.096879420847;47.115884156485997;-124.096918396697;47.116518750375000;Jehovah's Witnesses;;;;148 Copalis Beach Rd;WA;98535;;Verified;(360) 289-3508;2;;;;866107;Churches;866107;81311008;Religious Organizations;81311008;Jehovah's Witness;1 to 4;1;;0;;0;;0;Private;Single Loc;40-337-9430;;202401;15;;No;2;;;;0;0;FALSE;FALSE
100;A;19 Heath Rd, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.176503142423;47.111223985957999;-124.176505908452;47.111051067296003;Ocean City Small Engine Repair;;Bob;Brown;19 Heath Rd;WA;98535;;Unverified;(360) 289-2399;2;;;;769957;Lawn Mowers-Sharpening & Repairing;769957;81141101;Home And Garden Equipment Repair And Maintenance;81141101;;1 to 4;1;Less Than $500,000;84000;;0;;0;Private;Single Loc;59-843-6046;;201907;22;;No;2;;;;0;0;FALSE;TRUE
100;A;2679 State Route 109, Ocean Shores, Washington, 98569;20;Ocean City;-124.166084436776;47.074579688288999;-124.166735291558;47.074458988883997;Fyrwood;;Joseph;Trepanier;2679 State Route 109;WA;98569;;Unverified;Not Available;1;;;;999977;Nonclassified Establishments;999977;99999004;Unclassified Establishments;99999004;;;0;;0;;0;;0;Private;Single Loc;74-444-3497;;201907;6;2019;Yes;2;;;;0;0;FALSE;FALSE
100;A;1579 Ocean Beach Rd, Hoquiam, Washington, 98550;20;Hoquiam;-124.067248192829;47.106531687566999;-124.067248192829;47.106531687566999;Copalis Crossing Assembly-God;;Rodney G;Brooking;1579 Ocean Beach Rd;WA;98550;COPALIS CROSSING ASSEMBLY OF GOD CHURCH OF COPALIS CROSSING WASHINGTON;Verified;(360) 289-2145;1;;;;866107;Churches;866107;81311008;Religious Organizations;81311008;Pentecostal;1 to 4;2;;0;;0;;0;Private;Single Loc;40-979-6612;910836776;202409;38;;No;2;;;;0;0;FALSE;FALSE
100;A;16 Front St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.199043337348;47.195272765679000;-124.199337709787;47.195207051558000;Front Street Market;;Steven;Mcelliott;16 Front St;WA;98571;;Verified;(360) 276-6810;2;;Shopfrontstreetmarket.Com;;541105;Grocers-Retail;541105;44511003;Supermarkets And Other Grocery Retailers (Except C;44511003;;1 to 4;3;$500,000-1 Million;757000;;0;;0;Private;Single Loc;70-499-5677;;202408;11;;No;2;;;https://www.facebook.com/front-street-market-284489008365687;0;0;FALSE;FALSE
97.1299999999999;A;1617 Ocean Beach Rd, Hoquiam, Washington, 98550;20;Copalis Crossing;-124.0711829997;47.108717433347998;-124.0711829997;47.108717433347998;Grays Harbor Fire District 16;;Jodi;Hartle;1617 Ocean Beach Rd;WA;98536;;Verified;(360) 289-3227;2;;;;922404;Fire Departments;922404;92216003;Fire Protection;92216003;;10 to 19;19;;0;;0;;0;Private;Single Loc;36-887-8997;;202404;23;1977;No;2;;;https://www.facebook.com/pages/category/community-organization/grays-harbor-fire-district-16-131472523588476;0;0;FALSE;FALSE
100;A;50 Robin Ln, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.196355763913;47.217323499366998;-124.196356099189;47.217193579868002;S B Design;;;;50 Robin Ln;WA;98571;;Unverified;(360) 276-8276;2;;;;871201;Building Designers;871201;54131011;Architectural Services;54131011;;1 to 4;2;Less Than $500,000;218000;;0;;0;Private;Single Loc;43-608-8895;;201907;11;;No;2;;;;0;0;FALSE;FALSE
100;A;162 Seawind Ln SW, Ocean Shores, Washington, 98569;20;Ocean Shores;-124.171044679437;47.062139309506001;-124.171406107102;47.062079965632002;Pizza Factory Ocean Shores;;;;162 Seawind Ln SW;WA;98569;;Unverified;Not Available;1;;;;581208;Restaurants;581208;72251117;Full-Service Restaurants;72251117;;1 to 4;4;Less Than $500,000;147000;;0;;0;Private;Single Loc;74-806-2193;;202002;5;;No;2;;;;0;0;FALSE;TRUE
97.1299999999999;A;1623 Ocean Beach Rd, Hoquiam, Washington, 98550;20;Copalis Crossing;-124.071638660538;47.108964266771999;-124.071790540623;47.108631337577997;Grays Harbor County Road Camp;;Randy;Buehner;1623 Ocean Beach Rd;WA;98536;;Verified;(360) 289-3404;2;;;;912103;Government Offices-County;912103;92112007;Legislative Bodies;92112007;;1 to 4;3;;0;;0;;0;Private;Single Loc;57-073-0747;;202404;24;;No;2;;;;0;0;FALSE;FALSE
100;A;14 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.199123384524;47.209220755476998;-124.199284149427;47.209536166493997;Po' Fred's Computer Repair;;;;14 Main St;WA;98571;;Unverified;(360) 276-0110;2;;;;573407;Computer & Equipment Dealers;573407;44921069;Electronics And Appliance Retailers;44921069;;1 to 4;2;Less Than $500,000;355000;;0;;0;Private;Single Loc;40-217-8927;;202004;14;;No;2;;;;0;0;FALSE;FALSE
100;A;108 N 1st St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.203681143213;47.216663689435997;-124.203681143213;47.216663689435997;Grays Harbor Comm Health Ctr;;;;108 N 1st St;WA;98571;;Unverified;(360) 276-8277;2;;;;809907;Health Services;809907;62199921;All Other Miscellaneous Ambulatory Health Care Ser;62199921;;1 to 4;4;Less Than $500,000;392000;;0;;0;Private;Single Loc;36-738-2272;;202008;21;;No;2;;;;0;0;FALSE;TRUE
97.1299999999999;A;1663 Ocean Beach Rd, Hoquiam, Washington, 98550;20;Copalis Crossing;-124.076370412518;47.111288861889001;-124.076740976459;47.110051106246999;United States Postal Svc;UNITED STATES POSTAL SVC;Barbara;Harvill;1663 Ocean Beach Rd;WA;98536;;Verified;(360) 289-0252;1;8002758777;Usps.Com;Visit Your Local Post Office At 1663 Ocean Beach Rd! The U.S. Postal Service (Usps) Is The Only Organization IN The Country To Regularly Deliver To Every Residential And Business Address. Usps Is Actively Recruiting For Many Positions, Including: Mail And;431101;Post Offices;431101;49111001;Postal Service;49111001;United States Postal Service;1 to 4;3;;0;;0;;0;Private;Branch;80-402-9254;;202306;34;;No;2;http://twitter.com/usps;;http://www.facebook.com/uspsstamps;0;0;TRUE;TRUE
100;A;3209 State Route 109, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.171283228402;47.119006960241997;-124.171999294391;47.118466495126000;Pacific Shores Land;;;;3209 State Route 109;WA;98535;;Unverified;(360) 587-5853;2;;Generalcontractoroceanshoreswa.Com;;999977;Nonclassified Establishments;999977;99999004;Unclassified Establishments;99999004;;;0;;0;;0;;0;Private;Single Loc;71-866-2149;;202008;9;2007;No;2;;;;0;0;FALSE;TRUE
100;A;3090 State Route 109, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.173801152115;47.111502935696002;-124.173634436062;47.111502097505998;Blue Bear Dispensory;;;;3090 State Route 109;WA;98535;;Unverified;(360) 289-4494;2;;;;599308;Cannabis Dispensary;599308;45999108;Tobacco, Electronic Cigarette, And Other Smoking S;45999108;;1 to 4;1;Less Than $500,000;160000;;0;;0;Private;Single Loc;40-344-2176;;202012;15;;No;2;;;;0;0;FALSE;TRUE
97.1299999999999;A;1663 Ocean Beach Rd, Hoquiam, Washington, 98550;20;Copalis Crossing;-124.076370412518;47.111288861889001;-124.076740976459;47.110051106246999;USPS Collection Box;UNITED STATES POSTAL SVC;;;1663 Ocean Beach Rd;WA;98536;;Verified;Not Available;1;;;;733110;Mailing & Shipping Kiosks;733110;54186009;Direct Mail Advertising;54186009;;;0;;0;;0;;0;Private;Branch;77-911-0001;;202407;3;;No;2;;;;0;0;TRUE;TRUE
97.1299999999999;A;1683 Ocean Beach Rd, Hoquiam, Washington, 98550;20;Copalis Crossing;-124.078011672979;47.111842109408002;-124.078232871405;47.111430809418998;Road House Nursery;;Sharon;Voss;1683 Ocean Beach Rd;WA;98536;;Verified;(360) 289-0622;1;;;;526108;Nurserymen;526108;44424012;Nursery, Garden Center, And Farm Supply Retailers;44424012;;1 to 4;2;Less Than $500,000;392000;;0;;0;Private;Single Loc;75-746-6822;;202410;4;;No;2;;;https://www.facebook.com/pages/category/nurseries---gardening-store/voss-acres-farm-and-park-302818689732930;0;0;FALSE;FALSE
100;A;17 2nd Ave, Ocean Shores, Washington, 98569;20;Ocean City;-124.168147223149;47.070998436338002;-124.168072875666;47.069896635166003;Screaming Eagle Campground RV;;Richard C;Guzinski;17 2nd Ave;WA;98569;SCREAMIN' EAGLE CAMPGROUND & RV LLC;Verified;(360) 289-2189;1;;Secampground.Com;;703301;Campgrounds;703301;72121101;Rv (Recreational Vehicle) Parks And Campgrounds;72121101;;1 to 4;2;Less Than $500,000;212000;;0;;0;Private;Single Loc;41-431-2583;;202406;14;;No;2;;;https://www.facebook.com/screamineaglecampground/;0;0;FALSE;FALSE
100;A;11 Viewcrest Dr, Copalis Beach, Washington, 98535;20;Copalis Beach;-124.169958803881;47.113633364026001;-124.169728888278;47.113630262721998;A C Electros;;;;11 Viewcrest Dr # 339;WA;98535;;Unverified;Not Available;2;;;;573117;Electronic Equipment & Supplies-Retail;573117;44921038;Electronics And Appliance Retailers;44921038;;1 to 4;2;Less Than $500,000;355000;;0;;0;Private;Single Loc;75-664-8249;;202102;4;;No;2;;;;0;0;FALSE;TRUE
100;A;223 Market St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.198600191341;47.194691408433997;-124.198600191341;47.194691408433997;Wanderer;;;;223 Market St;WA;98571;;Unverified;Not Available;2;;;;999977;Nonclassified Establishments;999977;99999004;Unclassified Establishments;99999004;;;0;;0;;0;;0;Private;Single Loc;75-664-8550;;202102;4;;No;2;;;;0;0;FALSE;TRUE
100;A;9 Ocean Blvd, Ocean Shores, Washington, 98569;20;Ocean City;-124.169415656555;47.071300101033998;-124.168957753186;47.071310243136999;1st Bean Espresso;;;;9 Ocean Blvd;WA;98569;;Unverified;Not Available;1;;;;581228;Coffee Shops;581228;72251505;Snack And Nonalcoholic Beverage Bars;72251505;;1 to 4;3;Less Than $500,000;110000;;0;;0;Private;Single Loc;75-664-8571;;202102;4;;No;2;;;;0;0;FALSE;FALSE
100;A;51 Main St, Pacific Beach, Washington, 98571;20;Pacific Beach;-124.202732129116;47.208818633672003;-124.202731039469;47.208684020306997;Pacific Beach BP Gas & Groc;;;;51 Main St;WA;98571;;Unverified;(360) 276-4624;2;;Mybpstation.Com;;554101;Service Stations-Gasoline & Oil;554101;45712003;Other Gasoline Stations;45712003;Bp;1 to 4;2;$1-2.5 Million;1335000;;0;;0;Private;Single Loc;40-483-1999;;202104;14;;No;2;;;;0;0;FALSE;TRUE
100;A;58 Dunes Ln, Ocean Shores, Washington, 98569;20;Ocean Shores;-124.169084403743;47.056988085180997;-124.169116422613;47.058655916275001;JWM Associates LLC;;;;58 Dunes Ln;WA;98569;JWM ASSOCIATES LLC;Unverified;Not Available;1;;;;999977;Nonclassified Establishments;999977;99999004;Unclassified Establishments;99999004;;;0;;0;;0;;0;Private;Single Loc;75-892-3821;;202104;4;;No;2;;;;0;0;FALSE;TRUE
100;A;2292 State Route 109, Hoquiam, Washington, 98550;20;Hoquiam;-124.157169603138;47.044188635406002;-124.157169603138;47.044188635406002;North Beach Towing;;Cynthia;Keller;2292 State Route 109;WA;98550;;Unverified;(360) 289-2012;1;;;;754901;Wrecker Service;754901;48841006;Motor Vehicle Towing;48841006;;1 to 4;2;Less Than $500,000;140000;;0;;0;Private;Single Loc;49-166-1047;;202107;31;;No;2;;;;0;0;FALSE;TRUE
